Name,Teacher ID,Department,Rating,Difficulty,Total Ratings,Would Take Again,Rating Class,Comments,Top Tags
Maria Gini,1993060,Computer Science,3.5,73%,29,73%,average,"{'CSCI5511': ['She is the best professor I ever had. She is well prepared and her class is so organized and has structure. She shares past experiences and encourages students to tackle problems.', 'Take this class if you want to learn the basics of AI and want an A. Gini makes sure that all of her students succeed in the class if you put in the effort. Content is similar to CSCI3041, but it is easy for the most part. Big project at the end of the class but you pick the topic. Lots of writing because it is writing intensive. Homework is easy.'], 'CSCI4511W': ['Such a cool teacher, its a class I genuinely believe anyone could get an A in. There are assignments every week at weird times but everything is manageable. The in class exercises are graded on just trying something and not necessarily finishing it or doing it correctly.', 'I enjoyed taking CSCI 4511W with Maria Gini as the content was interesting and it was always very clear on how we were being graded / what we needed to know to get a good grade in the class. Professor Gini makes it clear that she wants all of her students to succeed.', ""Never had an exam where the professor had an open textbook in class for students to read from. She's a generous grader. You may need to read the textbook because she doesn't record or really use slides, otherwise paying attention is really important. Wednesdays are mandatory attendance for the in-class assignments that are 100% as long as u submit"", 'Professor Gini is amazing and she cares about her students. The class is very straightforward if try to read the textbook. We have weekly work, which is nice and the final project is also interesting since you can just pick your own topic. Exams are long but the grading is very generous. There are also extra credits that can boost up your grade.', 'Professor Gini is a caring instructor who wants to see you succeed. She is generous with opportunities for extra credit and has the attitude of trying to inspire her students. I appreciate how she covers both history and emerging advancements in AI, giving perspective to problems and what we can learn from the past to apply to the future.', 'She is the most responsible professor I have ever seen in U. She gave very useful feedbacks. You can learn a lot from her class and easily get good grades if you work hard.', ""Kind of a pretty boring online lecture where she writes on a notepad. This is an intro to AI class, but feels like it was made in the 1650s. Get this class if you want an easier low stress class, but don't expect to be engaged or blown away. Most poeple are going to need more time on exams."", ""She uses cards as notes and can be randomly rude to students. She's also not comfortable with tech. The semester project is long but structured. You'll end up self-teaching a lot. Yet, her grading makes up for it as you have ample time to do assignments, and going to class is a free 15%. Overall, it wasn't amazing, but not horrible either."", ""Be prepared to read everything from the textbooks because the homework assignments are not doable with the unorganized lectures on pieces of paper, which are hard to read. I stopped attempting to email after receiving a rude response. The class is not difficult if you are willing to stick it out but the content wasn't as interesting as I hoped."", ""The worst professors I've ever had. She is old, has an accent and scribbles on papers all lecture. Not sure why She doesn't engage with the class and no-one pays attention. You learn on your own (TA's are helpful). She is VERY rude so be prepared to feel dumb/stupid when you ask a question. Clearly she is tenured otherwise, she wouldn't have a job."", 'For the most part she was ok, but I did learn more from the textbook. The writing section of the class was more towards the first half of the semester, with the latter half focused on the final project and a paper. Not too bad of a class, I understand why people do have complaints though.', 'The professor has a horrible attitude toward those who do not understand the content. Rude comments are often left on assignments without explaining why it is wrong. Her handwriting is illegible 75% of the time. She gets frustrated with clarifying questions, and the grading is NEVER consistent. But the TAs are nice, and they help out quite a bit.', ""Good professor for the most part. There is a lot of content that is not brought up in lectures at all (only in textbook). Many students (myself included) found midterms to not have enough time for completion (like an HW assignment with an exam's time). The content was relatively interesting, though. Some grading was fairly harsh."", 'This is the easiest course I have ever taken in my life. Her lectures are outstanding and the midterms are very doable. I highly recommend anyone to take this course. Put about 3 hours of work per week for homework and writing assignments combined.', ""This was by far the easiest class I have ever taken and I highly recommend you do the same. Gini's lectures are incredibly easy to follow and the midterms are a breeze. Homework comes directly from lecture and you probably won't even need the book :)"", 'Somewhat disorganized. Class is boring. Professor is pretty rude.', ""This course was a repeat of csci discrete math. With feedback, Gini's not the best. She took points away on final project w/o explaining why. Avg on project was 78% (no curve). She only graded the writing btw (when there were more to the project)! Sucks when your team put in a lot only to receive a harsh grade because writing isn't your best asset!"", 'Reputed American mathematician who doesnt know how to teach a lower level python class.']}","['EXTRA CREDIT', 'Participation matters', 'Clear grading criteria', 'Gives good feedback', 'Respected']"
Stephen Guy,1901535,Computer Science,4.9,100%,21,100%,good,"{'CSCI5611': [""I love his enthusiasm to teach. He's really caring and if you don't understand something, go to his office hour. He will definitely help you out as much as possible. The homeworks and projects are tough but its worth it."", 'Weekly quizzes w/ codes received in lecture. Super helpful in-class code examples and at-home exercises to try. Great for someone who learns by doing like me. Open-ended projects where you can choose a partner. Super knowledgeable of industry standards in animation and gaming, and does a great job of explaining complex topics in layman terms.', ""Great professor that's passionate about what he's teaching. Class is tough, but fun. The material is interesting and he helps a lot with Slack and office hours."", ""Course was mostly asynchronous with a weekly synchronous meeting. The professor seemed to really care about the students and was really excited to teach the course. The course was a little disorganized in the second half of the semester but manageable overall. If you put in a little effort, it's an easy A and a pretty fun course."", 'Awesome professor. Made challenging concepts easy to learn. Love his sense of humor.', 'Great professor! Respectful to students and makes an effort to make sure students have what they need to succeed. Gradelines were clear, labs were helpful, tests were doable, and professor was kind and engaged with the students.', 'Wonderful Prof ever', 'Professor Guy really cares about what he is teaching and it really shows during lecture. He understands that not everyone knows how to program and structures the class and labs that allow all ranges of experience to be able to pass the class. The tests are really straightforward but if you struggle to understand the material they can be pretty hard', ""Genuinely the best professor I've ever had. It was the only lecture I would look forward to."", ""Prof. Guy is the best professor I've experienced at UMN. I had absolutely no interest nor experience in graphics  I took the class purely due to Prof. Guy's reputation  but found his lectures and assignments incredible and well organized. He made the Navier-Stokes fluid dynamics equations intuitive, and I had never seen a calc. gradient before."", ""A phenomenal computer science professor. Not only does he teach you a lot about computer science but also he goes out of his way to find cs applications to many topics. The honors section had 'fun Fridays' where he would give us intros to advanced cs topics. Lecture was so interesting that junior cs majors sometimes came just to listen."", ""Absolutely outstanding professor. He's extremely knowledgeable and passionate about graphics and animation and he works very hard to get his students  to understand and enjoy the subject. The homework is tough and the grading is not clearly defined, but the grades are very fair. It's a really rewarding course."", ""Stephen is a great guy. He's always cheerful, and passionate about everything he does. He cares about individual students. He gives amazing lectures, making complicated concepts easy to grasp. One of the best professors at the U. This class is very fun, one of my favorite CS classes."", ""Really nice guy who clearly is passionate about the subject. Very approachable and comes to labs to help out even when he isn't required to which I found really great. Lectured well with great examples and passed his passion for computer science on to his class.""], 'CSCI5607': [""Stephen Guy is one of the best professors I've taken classes from. His lectures are amazing, and the assigned projects are all interesting. If ever you have the opportunity to take a class taught by him, do it."", ""The standard all professors should measure up to. An absolutely fantastic professor who cares about his students, has genuinely fun projects and assignments, and puts everything in context within the real world. Without a doubt one of the best teachers I've ever had throughout all schooling.""], 'CSCI1133': [""By far the best professor I've had.  On Fridays, he took time to lecture about super interesting logic/math concepts that were a nice break from pure code.  By the end of the class, we were able to make basic games in Python.  He is also very approachable and very committed to student success.  Highly recommend."", 'He is passionate an knowledgeable about animation and design.  He also puts more focus on result than how you get them, which was a breath of fresh air for me, as most Professors have a specific way they want things done.  Allows creativity, pushes students to accel, and on top of that is a lenient grader.  Easily one of my favorite professors.', 'He is an amazing teacher. He considers every worst case scenario a student could have and basically eliminates all their worries. He is very appreciative of feedback. He has boundless faith in each and every student in his class, and is very cheerful, always. Paces things well. He has great, subtle humor. Homework gets tougher over time.', ""One of the best Professor I've ever taken during my College life. Really opened my eyes to my potential in the subject area, and has an incredible grasp of the needs of the students. Don't miss lectures, you'll thank me.""]}","['Amazing lectures', 'Gives good feedback', 'Inspirational', 'Respected', 'Caring']"
Mats Heimdahl,888169,Computer Science,3.3,N/A,8,N/A,average,"{'SENG 5801': [""This class is a waste of time. Don't expect to learn anything technical or engineering from him. He can stand up and talk for hours about nonsense things that don't add any real value to professional development. Grades are not based on  assignments or exams, but on rather he likes you or not. Beware of his tests,  there's no right or wrong answer."", 'Mats begins every single lecture with, ""Where were we last time?""  This is a microcosm into his mind.  He shoots from the hip in a way that made me a bit uncomfortable.  Funny, but unfocused.  Sometimes insulting when asking students to shout out answers.  Very honest about the messiness and difficulty of computer science.'], 'CSCI5801': ['His lectures are a very easy to listen & fun. The best part is that whatever he teaches stays with you forever.  Great Professor.', ""This guy is a stand-up comedian! Is a master of talking forever without really teaching anything!! His TAs have no clue what he's teaching in class, while he has no clue what his TAs are doing. Very lazy to respond to forum posts as well. Overall, a very boring Professor. Register for his class if you don't want any appreciable work load."", 'Mats is the best professor I have had in Computer Science.  He makes everything relevant, and is an absolute joy to listen to.  He even makes night classes bearable.', ""I've learned from single lectures with Mats than I have in entire semesters with other professors. All he did was literally lecture all semester, I took very few notes, and somehow came out of the course with a rich knowledge of all the material. Very few homework assignments, but the information stays with you because it is presented so well."", 'Everytime I go to this class (which is not often) I regret  it.  Mats will literally take an hour and a half and talk about absolutely nothing.  Exams are recycled, probably found online somewhere, definately not written by him, which makes them unexpectedly difficult.  Look out for very obscure programming problems.  Assigns a ton of labs.', 'No Comments']}",['Group projects']
Nick Hopper,732786,Computer Science,3.0,73%,96,73%,average,"{'CSCI2011H': [""Professor Hopper takes questions as a personal attack on his teaching skills and his answers are condescending. But, I'm grateful I had him because he did a great job ensuring we were ready for upper div classes. The homework was tough so you should start early and you can get extra credit, the quizzes were simple, and there was a take-home final."", 'Fun lectures, not condescending as other reviews said, good OHs, tests were open notes and taken out of class, gave good extra credits. Might be an outlier because honors classes get smaller lectures, but Nick taught this class well. Lots of HW compared to non-honors 2011 but you *really* learn discrete math.', ""Nick is ok. I never really had much trouble with him and the class was well organized, but man is he mean sometimes. If you aren't getting something or ask a question in lecture that he finds trivial, expect the most condescending, demoralizing, and snarkiest response. You'll teach yourself most of the material through labs, hw, and the online lecs"", ""Spring 2022. Lectures were flipped: watch lectures at home, then go over examples during class. He covered a decent amount of content. The projects were quite lengthy. Labs were also lengthy, but you're given a week to do them. The quizzes (10) were covered by the lecture. Final was essentially like one giant quiz-- not hard at all.""], 'CSCI2041': [""Nick is one of the best professors I've had at UMN. I've had him for several classes and he has consistently been great. His lectures cover a lot of material and are very clear and understandable, and he gives great feedback on homework, especially on the projects for this class. He also graded at lightning speed in this class."", ""Professor Hopper is by far the best mentor/professor I have ever had. His lectures are engaging, and he is incredibly kind and respectful to students who didn't quite grasp the material the first time around. A few short programming assignments that stem directly from lecture. OCaml is an industry recognized language and very useful."", 'Nick Hopper is one of the best professors I have ever had. His course structure is very simple and straightforward. Had only a few Projects that took about 2 hours each. There was no midterm and the Final was a breeze. I was very ecstatic to hear that he is the head of the CS department and we should be proud that he leads the forefront of CS.', ""Nick Hopper is a good professor. His lectures aren't dry and he keeps things interesting. He is excited to teach about the material. The homework was challenging but, weirdly fun??. The quizzes were easy and the tests had no surprises. The course itself was fairly easy."", ""I asked him questions about the lab and he got so mad at me cuz I wasn't understanding. That's absurd. One of the most discouraging things teachers could do to a student. Awful."", 'There was a lot to keep track of and having a synchronous and asynchronous lecture for every session was kind of annoying, but otherwise it was a pretty straightforward CS class. Labs and homeworks were time consuming and lectures could be dry at times. Hopper is a solid choice though and hes a pretty helpful guy in OH', ""Prof. Hopper's class was fairly straightforward in terms of structure, which I felt was nice. He presented the material concisely, and labs and projects were not too challenging. We played Kahoot! to learn proofs, which is always enjoyable."", ""Asynch lectures were clear and helpful. I'd recommend skip the readings as the lectures are good enough. Reading quizzes ez points. Synch lectures for review/questions. Weekly labs were challenging. Weekly quizzes were not bad at all. HW's were every other week, very rough, time consuming. Class forced me to stay on track. Fav online class so far"", 'Cool dude. Pretty frequent projects and labs, but the material is reasonable and taught well.', ""Daily reading quizzes with an additional weekly quiz, weekly lab assignments, and coding assignments every 2 weeks. If you stay on top of things and visit the TA's whenever possible then the class really won't be that difficult. My only complaint is that the lectures are kind of dull. Other than that, Nick is really helpful during office hours."", ""Professor Hopper can be very difficult. He's quite brash when answering questions as though asking the question was a waste of time. His lectures can also consist of lots of typing into an OCaml command line, which feels dull. You'll learn some OCaml which no one has ever heard of, but you'll be kicking and screaming the whole way."", ""I really started respecting Professor Hopper when he made a comment in the class to ask questions because it shows that someone is striving to learn. His class was pretty easy if you have knowledge of networks and some pen testing experience. Highly recommend the class if you don't have any exp either! Group Projects made up most of the grade (45%)""], 'CSCI4271W': ['I enjoyed his class. He is a hilarious person and makes the lectures with quirky examples. It was a lot of work for sure, but as long as you keep up with the assigned readings, you should be fine. It also helped the class was shortened for the summer session. The class was sometimes challenging, but I found it appropriate.', 'there is no documentation for this class he teaches and when you ask him questions during office hours he gets mad.'], 'CSCI4011': ['Best online class I\'ve taken so far. There is a lot of work, but it MAKES you at least SOMEWHAT caught up, very important for an online class. Asynchronous meetings were structed well, normal meetings never ran out of time. Highly recommend. He expects you to learn, so can be a little weird about ""stupider"" questions, but overall a solid choice.', ""Dr Nick was pretty good. Class was asynch lectures/readings, a reading quiz per lecture/reading, synch lecture for review and questions, a lab and quiz once a week, homeworks once every other week. Lectures were clear, didn't bother doing readings, reading quizzes kept me on track, ez points, labs were tougher, quizzes not bad, hw's were rough.""]}","['Lots of homework', 'Tough grader', ""Skip class? You won't pass."", 'Hilarious', 'Clear grading criteria']"
Victoria Interrante,976845,Computer Science,2.3,28%,65,28%,poor,"{'CSCI5607': ['Highly recommend taking a class from Prof. Interrante. Her class was a lot of work, but if you really engage with the material and participate she does everything in her power to make sure you succeed. Her tests are really tough, but she makes up for it with a ton of extra credit and a very generous curve. Her slides are amazing. I learned a ton!', 'Prof Interrante is a good lecturer, although she is unorganized at times, and sometimes gives quite strict deadlines. She definitely wants you to succeed. The TAs are amazing and getting help is basically a necessity unless you are very good at linear algebra, and the exams are closed note and very difficult. She has daily participation questions.', ""I could never describe how poorly run this class was in just 350 words, so here are some fun facts.\n\nWe are a month past the university final grade deadline and still don't have 50% of our grade.\n\nThe rubric for our final paper was released a day after it was due.\n\nI can't think of anything useful I learned from lecture.\n\nTake this class w/ Suma."", ""Lectures are boring, as she would always go on a tangent. What you learn from the lectures are irrelevant to the assignments. Rather, you will gain some fun facts about virtual reality.\n\nVirtually no help from the professor on the assignments, and terribly organized. Still haven't gotten our grades. Never on top of things. For your sake, avoid her."", ""The worst professor I've ever had. She has 3 million powerpoints and rushes through 100 slides and skips over stuff. HW's are ridiculously long and the exams? good luck. If you're thinking about taking this class with her, go smash your head on the wall and ask yourself again. She is a sweet lady but that doesn't make her a good professor! #ripGPA"", ""This course is rather simple in nature, however, she found a way to make it unnecessarily difficult. The assignments/lectures were amateurly thrown together and the exams were ridiculously lengthy. I couldn't determine if she just doesn't care about teaching or if she was incompetent. I would highly recommend avoiding her at all costs.""], 'csci5619': ['Any interesting parts of this class (which there were many) were completely ruined by terrible logistics. A literature review was graded based on criteria not mentioned in the rubric whatsoever including ""not required"" things leading to penalties. We are now 6 days past the university-wide grading deadline with 50% of our grade unknown.', ""With TA Yuxuan Huang, the class is great. Projects are fun, and learning how to do various things in VR/AR was awesome to learn. Her lectures themselves became skippable very quickly, with unengaging content. But she's very sweet and genuinely cares for the topics she teaches."", 'After taking linear algebra last year I expected this class to be a lot easier. Attending the lectures made the information more confusing, and the lectures were hard to pay attention to. Professor Interrante was teaching virtually which led to technology issues, though she did respond quickly via email. Hard to judge grade before end of semester.', 'Really really bad rushed lectures. Takes forever to get grades done for finals and problem set. Learned nothing from her class. Homework is absurdly difficult like the first homework assignment and a few of the last assignments. AVOID AT ALL COSTS.', ""She's a terrible lecturer. Should be a relatively straightforward class, but her slides are messy and make sense only to her. I learned way more from the discussion for an hour a week than the 3 hours of lecture a week. I would steer clear from Victoria if possible."", ""Very clear and very rushed lectures (NOT 100s, but 50-70 slides for 50 mins). I learned a lot! But it's a lot to learn. Hw is based on the slides and very doable. Not much work outside of class. Tests are too long, but questions are representative of the hw (in-person tests). VERY generous curve tho (to a B). DO NOT BUY THE TEXTBOOK.""], 'CSCI2033': ['She is a very nice person, however, her teaching was not great. She takes simple topics and way over compliments things with random facts / paragraph slides. Exams are impossible to finish, but the curve is great. Homework wasnt crazy difficult but insanely time consuming.', ""There's bad professors, and then there's Victoria Interrante. She will speedrun 70 slides per lecture helping absolutely nobody learn anything. The homeworks contain needless busywork and terribly worded questions, and exams are so long you'll need to do a speedrun of them yourself to get a good grade. If you take CSCI2033 with Victoria, Godspeed"", 'DO NOT TAKE HER CLASS!!! She never comes to classroom, everyone is sitting in the classroom watching her video on the screen, kinda stupid. The difficulty of the exam online and in-person is totally different, even if her syllabus says the same. Online exam is your nightmare. Too much homework! Each assignment I wrote at least 10 pages work', 'The test was so hard, I took in-person in the first exam and the last one online, it is impossible to finish all the exam, neither in-person nor online.', 'We ran out of time on lectures pretty much every time because her lectures are about 75 slides, homework took hours to complete, and pretty much I taught myself how to do everything- I learned more from the TA than her.', ""Probably the worse class/professor Ive had in the past 3 years. Homework take at least 4 or 5 hours to complete as the are super long. Tests are horrible and have nothing to do with anything we learn. Run away. Only got a 1 bc of the curve but even that isn't worth it."", 'Interrante is such a horrible professor that I dropped the class and am now taking this course at a different college just to avoid her. Her tests are impossible. Her lectures are difficult to understand. AVOID', ""She's seems like a good person! We ran out of time- alot. Tests were hard and too long for the time period, but the curves were big (because most people didn't pass without it). If you have to take this class with her, definitely go to discussions and make sure to thoroughly understand all the concepts in the homework.""]}","['Lots of homework', 'Caring', 'Lecture heavy', 'Tough grader', 'Participation matters']"
Volkan Isler,2255884,Computer Science,3.5,50%,2,50%,good,"{'CSCI5552': [""Class wasn't that hard but I also didn't get much out of it. He spent the first half of the semester introducing material and the second half summarizing without really getting deep into it. Be prepared to spend time learning the material on your own to the point where I would recommend self studying or taking a different course."", 'He really cares about how well students can actually understand the material, and highly values student feedback. His lectures mostly cover concepts and are quite casual. He did not cover much about notating proofs, but probably will in future classes. Homework was clear, lots of opportunity for bonus points, and grading is fairly lenient.']}","['Caring', 'Graded by few things']"
Ravi Janardan,814911,Computer Science,4.3,77%,37,77%,good,"{'CS5421': [""This is the best and most difficult class and professor I've taken at the U.  If you think your degree has been easy up to this point, I would encourage you to take this class as it will definitely challenge you."", 'The teacher is very strict and has an equally strict and awful TA Guangya Cai. The average score for the midterm was below 50, and there was no grading curve applied. Strongly advise against taking a class with this professor and their teaching assistant.', ""Ravi is tough but I respect him a lot because he's a good guy who cares about his students. I had to change to pass/fail because the quality of his class deteriorated after the switch to all-online--his in-person lectures were a lot more valuable because he actually writes on the whiteboard. All in all, I regret taking the honors section of 2011."", ""It seems his curriculum is significantly different in 2011H than the non honors curriculum. I'm not yet sure how this impacts overall readiness, but it is worth noting. His class is challenging and you need to stay on top of it from the start. Lectures aren't mandatory (except quizzes/tests) but if you want a good grade you should go.""], 'CSCI5421': [""Probably the best professor I've taken at the U so far. Definitely the hardest grader. Learned a ton in this class. People have different opinions about the difficulty of this class. I thought it was pretty difficult myself, but I took it as a Junior."", 'Ravi explains the concept clearly. His slides are self-contained. You can understand the material pretty well if you can follow the lecture even without reading the textbook. The grading has no curve, so it can be difficult to get an A.', 'Very clear and engaging lectures', 'The homeworks are pretty big and they are defintely not easy, but you have plenty of time to work through them and his office hours are fantastic. He explains the content very well, and if you are willing to put the work in on homeworks, the grading scale is lenient enough for you to pass the class easily', ""The best way to get a feel for Prof. Janardan is through an example. Before classes were moved online, Prof. Janardan would write notes on a whiteboard. However, when the switch to online classes occured, he prepared beautiful, detailed slides for every lecture. You'll seldom find a professor as dedicated to their students as Prof. Janardan."", 'Best class I have taken so far!', 'Really tough grader and you will be able to count on both hands how many questions you are graded on.', 'His lecture is awesome though he is definitely a tough grader. The class mean for the first midterm was about 45% and no curve. Homework is also hard.', ""I liked Ravi. I thought the course material was hard (a lot of mathematical proofs which I'm not good at), so sometimes I would lose track of what was going on, but he was generally good at explaining things. Reading the book can help. There's also a pretty major curve. Lectures sometimes got a bit dry, but he could also be entertaining at times."", ""Good professor and doesn't trick you at all. Clearly explains concepts. He's challenging with a lot of homework and tough grading, which prepares you for the more advanced courses but you have to work for an A. Also the undergrad TA's are kinda clueless so you have to ask for points back literally every time on homework.""], 'CSCI2011H': [""Janardan has a passion for the material, and it shows. He's easily accessible and well prepared, though he expects everything to be by the book. The class isn't anywhere as hard as other raters make it; most graduate students coast through."", ""One of the most challenging courses during my Master's, CSCI 5421 under Ravi Janardan was also the most enlightening course. Going in-depth while teaching some key concepts of algorithms, extensive explanation (but at a rapid pace, blink and you miss) of interesting sections, fairly challenging closed-book tests are some of the highlights here."", 'Really interesting lectures, although lengthy. Reasonably hard midterms, and homework that help you understand the material. Office hours are useful. Beware; the final exam is harder than the midterms, and getting behind the class is easy, as you can catch up by reading the book, and the only thing I had to do was to do the homework. Overall, nice.', ""Really work hard to get an A-, though it's easy to get an A on other classes with same efforts. Ravi's class is quite different and so are the exams. If you want to learn something and don't care about grades, take his adv. algs, otherwise take others."", ""The professor is excellent but the exams and grading is brutal. If you miss class more than a few times you will fail, simple as that. This might be the most difficult class I've ever taken, and my lowest grade ever, but I would say worth it"", ""Ravi is tough, but he's not one of those profs who considers teaching to be a secondary responsibility. He's good at explaining most of the material. But his is the hardest 2011 section.   Tutors often can't answer his HW probs. Even his TA's sometimes can't. He focused on proofs, but skipped graphs and trees (what you actually use in CS).""]}","['Tough grader', 'Respected', 'Accessible outside class', ""Skip class? You won't pass."", 'Clear grading criteria']"
Elizabeth Jensen,2944622,Computer Science,3.1,43%,12,43%,average,"{'CSCI4511W': [""Lectures are so useless as she just discussed what exactly on the slides. U regret not taking other electives because I didn't learn anything useful from this class."", 'Really hard midterm which requires students to know everything in the slides. But inclass exercises never mentioned anything similar in the midterm.', ""projects were released but the actual material wasn't covered until a week before the deadline. first project avg was 90%, second was 65%...the midterms were difficult (avg 60%) and it felt like 1/2 of the exam material was not covered in class. prof has a slightly condescending tone when answering questions, but prof/TAs were nice when helping."", ""Took her for 4511W, don't feel like i learned anything in what i thought was gonna be an interesting class. It was super boring. Her lectures are dry, doesn't set clear expectations or guidelines for any written assignment or test. You end up having to write a 16 page final project if you work in a group of 3. Class way harder than it needs to be."", ""Great labs, and the projects became fun to do even when you didn't understand everything in class. Things were made really well."", 'The class was a reasonable difficulty level (not too difficult), if you pay attention, you should be fine. The lectures walks you through each concept, which prepares you for the topics on the mid-terms. Make sure to do the homework and projects. She gives you ample opportunity to ask questions during lecture and has easy to read slides.', ""Jensen was an amazing professor, she was clear in her lectures and gave a very generous curve for the midterm and final. She didn't require attendance but gave extra credit near the end of the semester for doing in-class exercises. The projects in the class take a lot of time to do so, you MUST start early. All together she was a great professor."", 'averages for exams were aorund 40%... and they were always rlly long exams for only 55 mins. always had projs due a day or two before exams, but did not teach enough to start projs early in advance. lectures were rlly long, but prof truly is passionate about the subject. it feels like she forgets this is all new to us, but she is willing to help'], 'CSCI2021': ['Your GPA will likely suffer from this prof. That said, I found lectures quite interesting. Jensen has an incredible ability to focus intently and zone in on the course material, leading to highly thorough and clear explanations. Jensen also emphasizes the context of concepts by helping us understand why they were invented and needed to be invented.', '20-30 minute turn&talks.~55% exam average.Exam content is at significantly higher level than book/lecture. Randomly hides rubric so regrade requests are difficult to do.Allows taking exam ahead of time for extenuating circumstances but the grading standard is way higher for the same exact test. Reasonable page limits but required format doubles it.'], 'CSCI3061': ['Her teaching style is monotonous. It is useless to attend class; lectures felt more like reading off of the slides. Lots of speaking with people next to you. I learned mostly on my own from the book. The problems in the homework / quizzes are vague. Not an impossibly difficult class, just frustrating.', 'Final writing assignment 3 times longer than other sections which was crammed at the end of the semester. Easy content in lecture but foreign applications on exams. Unnecessary classroom discussion for simple topics - lectures could have been cut in half (or filled with covering important test material).', ""Jensen is knowledgeable but explains concepts in a high-level way when most of us are beginners. If you ask her to clarify she will just repeat herself over and over. Her lectures are hit or miss, some days I left feeling good but others I left more confused. Our class's midterm average was below Dovolis's because she added extra questions."", ""Professor Jensen is great. Her lectures are clear, and she did way more than just read slides. She'll go over anything multiple times if you just ask, and she does live coding on the whiteboard which is great for seeing how the algorithm or whatever the topic is works step by step. Do your reading in advance and come to class with questions.""]}","['Tough grader', 'So many papers', 'Clear grading criteria', 'Participation matters', 'Group projects']"
Dongyeop Kang,2864009,Computer Science,N/A,N/A,0,N/A,zero,{},[]
George Karypis,574477,Computer Science,3.2,40%,17,40%,average,"{'CSCI5451': [""No rubrics for exams or homework. Often condescending toward students. Knowledgeable about parallel computing, but poor at explaining. Very hard to follow. Assumes knowledge well in advance of what's stated in syllabus/course description.\n\nExams may be curved, and a practice exam is posted ahead of time, which is why this review is a 2 and not a 1."", 'Caring instructor, with good reputation.', ""I'm sure he's a good researcher, but he can't be bothered to make the material approachable for people who don't already know what he's talking about. The class felt more like it was supposed to be a review rather than new material. Assignments were graded very slowly. He seemed a bit full of himself which didn't make him all that approachable."", ""Both the lectures and textbook aren't very good. The lectures feel unprepared and as a result, its tough to find the main points. A lot of people skipped lectures so I don't think I was the only one to find them useless. The assignments are pretty ambiguous but they expect specific answers. The projects are long but alright. Exams are rough."", 'This professor teaches decently, is understandable, and is generally a nice person. However, The assignments are vague, resulting in low scores. He does not help when there are questions, claiming the assignment is clear. The tests are intentionally very difficult. He teaches different, more difficult, topics than others that teach this course.', ""Karypis is a friendly guy -- respectful towards students.  Homeworks were generally easy - a couple programming assignments were TOO long IMO.  Most annoying thing was it took FOREVER to get results.  We're talking about weeks of waiting for test/homework grades -- and even final grades were posted several days after the official UofM deadline."", 'He a good professor who knows his materials but can be hard to undertstand at time. Must keep up in reading to understand the concept. Good professor to take class from as you will be make to think and you will know the meaning of studying from this professor.', ""He teaches good!  He makes his students to think very hard.  However, he's also tough.  It's very hard to get a good grade from him.""], 'CSCI5523': ['Was very funny, you could make up for poor grades by studying really hard for the tests, but you were unfortunately left without much leeway if you wanted to contact him outside of class.', ""Course material is a bit dated. Lectures can be hard to follow, but are straight from the textbook (which he co-authored). Factor in lots of time for homework, especially the final assignment! Homework is all programming, but exams are mostly theory and will catch you out if you haven't brushed up on algorithms and analysis."", 'He knows the knowledge very well. But NOT good at instructing others. Unable to find the keypoints and logic in his lecture.', 'George himself was o.k. although lecture usefulness is debatable.  Class is excessively difficult for an undergrad class, and a very dismissive attitude is taken when students struggle with material or approach him with suggestions/complaints. He needs to do a better job of managing or selecting TAs: ours had an ego problem. Avoid if you can.'], 'CSCI5521': [""George is used to teaching grad level students. He is dismissive if a student has trouble understanding material and blames it on a lack of effort. His slight accent is easily understandable. You are graded on things that aren't asked of you in the assignments, so make sure you go above and beyond."", 'Karypis is a pretty good lecturer--a bit hard to understand at times, but usually clear. However, he assigns crushing amounts of homework. His programming assignments take 30+ hours of work and they are individual, not group assignments. His class was the most work-intensive I have ever taken, EVER. Do not take if you have other stuff to do.'], 'CSCI4041': ['Definately instigated some of the most class participation I have experienced at the U.  He was very engaging though the material got confusing/difficult at times.  His speech patterns did present the occasional misunderstanding.  Overall a good instructor, and nice guy.', 'Awesome professor, kept things interesting.', 'No Comments']}","['Lots of homework', 'Tough grader', 'Inspirational', 'EXTRA CREDIT', 'Hilarious']"
